extreme,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
" Fahrradfahrer und Fußgänger jetzt im Verkehr beach… [+1046 chars]""",0.0,1.0,0.0,1.0,1.0
" Herbst und Winter."""" Gerade ist das Problem Herbst wieder aktuell: Mehrere Stur… [+655 chars]""",0.0,1.0,0.0,1.0,1.0
 Kürbisgesichter: In diesen Tagen hat die dicke Herbstfrucht Hochsaison. Als beliebteste Sorte gilt der Hokkaido.,0.0,1.0,0.0,1.0,1.0
 Schauer und Gewitter könnten Pläne durchkreuzen.,0.0,1.0,0.0,1.0,1.0
 Splitt: Warum Herbsttouren für Biker in Thüringen riskant werden können und was der TÜV jetzt dringend rät.,0.0,1.0,0.0,1.0,1.0
 Stichwort,0.0,1.0,0.0,1.0,1.0
" Wind: Im Südwesten bleibt das Wetter wechselhaft. Was der Deutsche Wetterdienst für die kommenden Tage in Baden-Württemberg erwarte… [+1850 chars]""",0.0,1.0,0.0,1.0,1.0
 als würde ein Gewitter losbrechen. Im Netz heißt das Phänomen Dad Sneeze und TikTok &amp; Co sind voll davon.,0.0,1.0,0.0,1.0,1.0
 begonnen. Im Vorjahr stieg die Erntemenge.,0.0,1.0,0.0,1.0,1.0
 das Smartphone steuern,0.0,1.0,0.0,1.0,1.0
 dass man sich manchmal einfach nur noch eine,0.0,1.0,0.0,1.0,1.0
" der einem das We… [+679 chars]""",0.0,1.0,0.0,1.0,1.0
" die Rutschgefahr durch Glatteis mit Streugut zu reduzieren. A… [+4301 chars]""",0.0,1.0,0.0,1.0,1.0
" die den Balkon… [+5372 chars]""",0.0,1.0,0.0,1.0,1.0
" erf… [+1434 chars]""",0.0,1.0,0.0,1.0,1.0
 getrockneten Chili,0.0,1.0,0.0,1.0,1.0
 kann es auf dem Teller trotzdem,0.0,1.0,0.0,1.0,1.0
" sind noch einige Maßnahmen nötig.… [+1487 chars]""",0.0,1.0,0.0,1.0,1.0
" sondern auch ehrliche Einblicke in sein Leben bietet. Motuz kritisiert… [+612 chars]""",0.0,1.0,0.0,1.0,1.0
" wie und womit man gängige Garteng… [+6708 chars]""",0.0,1.0,0.0,1.0,1.0
" während im Westen und Südwesten die Wolken langsam auflock… [+2067 chars]""",0.0,1.0,0.0,1.0,1.0
"""Ein Traum wird wahr"": ""Tribute von Panem"" begeistert Fans erneut mit Sci-Fi-Überraschung. Fans lieben das neue Casting-Update, denn der neue Sci-Fi-Star ist einer von ihnen. Noch dazu mit einer spannenden Sprechrolle.",0.0,1.0,0.0,1.0,1.0
"""Monster Muse"": Düsterer Make-up-Trend für den Herbst. Gruselig schön: So gelingt ein Herbst-Make-up-Trend, der geheimnisvolle Dunkelheit und lebendige Frische kombiniert.",0.0,1.0,0.0,1.0,1.0
"""Tatort"" aus Hannover: Oh Schreck, der Kopf ist weg: Furtwängler darf Detektivin spielen. Im ""Tatort"" aus Hannover stößt Kommissarin Lindholm auf einen skurrilen Fall: Ein Bauer wurde enthauptet – aber der Kopf fehlt. Ein spannendes Detektivspiel beginnt.",0.0,1.0,0.0,1.0,1.0
